#Depth	Count
1	25039274639
2	3811705899
3	928437519
4	400662710
5	208561981
6	124313541
7	78996465
8	53323481
9	37707669
10	27582450
11	20680454
12	15805397
13	12216256
14	9530688
15	7474839
16	5876662
17	4636791
18	3656105
19	2910984
20	2331014
21	1882851
22	1530043
23	1263418
24	1056156
25	894719
26	767644
27	668430
28	584304
29	519285
30	457169
31	406867
32	367193
33	331488
34	297847
35	272549
36	246582
37	224268
38	203791
39	185088
40	170163
41	156242
42	143380
43	132573
44	121886
45	112848
46	104255
47	96517
48	89730
49	84597
50	78829
51	74734
52	71180
53	68120
54	65550
55	63250
56	60799
57	58493
58	56901
59	54778
60	54115
61	52757
62	51366
63	49699
64	48326
65	46993
66	45651
67	44508
68	43474
69	42456
70	40536
71	38756
72	37456
73	36786
74	34817
75	33519
76	31594
77	30064
78	28322
79	27120
80	25551
81	23413
82	22587
83	21039
84	19743
85	18433
86	16980
87	15919
88	14717
89	13578
90	12510
91	11652
92	10536
93	9982
94	9253
95	8422
96	7711
97	7162
98	6691
99	6248
100	5740
101	5297
102	5035
103	4675
104	4490
105	4162
106	3898
107	3651
108	3395
109	3276
110	3085
111	2949
112	2849
113	2698
114	2625
115	2532
116	2438
117	2328
118	2261
119	2329
120	2105
121	1984
122	2052
123	1970
124	1937
125	1781
126	1771
127	1728
128	1744
129	1608
130	1546
131	1665
132	1511
133	1452
134	1508
135	1384
136	1357
137	1319
138	1338
139	1172
140	1227
141	1246
142	1222
143	1165
144	1126
145	1054
146	1098
147	1073
148	1067
149	1056
150	974
151	954
152	915
153	889
154	910
155	850
156	827
157	811
158	837
159	863
160	819
161	784
162	808
163	830
164	817
165	772
166	778
167	729
168	676
169	720
170	684
171	645
172	617
173	610
174	621
175	533
176	602
177	552
178	590
179	611
180	620
181	573
182	587
183	548
184	617
185	590
186	589
187	573
188	602
189	619
190	572
191	584
192	560
193	568
194	492
195	520
196	538
197	512
198	470
199	479
200	440
201	404
202	392
203	405
204	387
205	438
206	398
207	477
208	399
209	400
210	420
211	363
212	391
213	376
214	363
215	365
216	331
217	379
218	333
219	400
220	339
221	381
222	358
223	340
224	345
225	375
226	322
227	361
228	331
229	372
230	303
231	307
232	297
233	289
234	278
235	264
236	268
237	280
238	253
239	290
240	268
241	234
242	220
243	245
244	230
245	247
246	226
247	289
248	322
249	250
250	244
251	217
252	237
253	223
254	225
255	216
256	226
257	230
258	208
259	196
260	179
261	197
262	175
263	201
264	162
265	178
266	167
267	187
268	159
269	169
270	174
271	180
272	183
273	198
274	175
275	191
276	198
277	162
278	160
279	185
280	171
281	147
282	143
283	165
284	158
285	144
286	156
287	165
288	140
289	136
290	132
291	142
292	150
293	127
294	110
295	130
296	124
297	102
298	131
299	108
300	109
301	124
302	130
303	136
304	129
305	104
306	131
307	142
308	120
309	120
310	119
311	125
312	118
313	125
314	118
315	105
316	92
317	112
318	98
319	135
320	99
321	109
322	94
323	89
324	94
325	79
326	83
327	86
328	102
329	73
330	97
331	81
332	91
333	67
334	73
335	72
336	68
337	78
338	85
339	71
340	72
341	68
342	73
343	81
344	55
345	60
346	69
347	58
348	58
349	65
350	70
351	64
352	97
353	53
354	62
355	56
356	68
357	61
358	65
359	68
360	74
361	57
362	50
363	55
364	59
365	56
366	51
367	59
368	65
369	56
370	56
371	48
372	62
373	62
374	56
375	58
376	66
377	65
378	68
379	44
380	64
381	50
382	56
383	41
384	64
385	39
386	49
387	71
388	49
389	62
390	64
391	60
392	44
393	54
394	51
395	44
396	44
397	34
398	51
399	46
400	48
401	52
402	42
403	53
404	41
405	40
406	47
407	42
408	36
409	38
410	32
411	41
412	35
413	30
414	46
415	37
416	35
417	47
418	32
419	38
420	43
421	45
422	50
423	32
424	47
425	43
426	38
427	29
428	34
429	26
430	30
431	36
432	27
433	32
434	36
435	31
436	31
437	33
438	28
439	41
440	39
441	30
442	16
443	28
444	24
445	24
446	33
447	28
448	25
449	35
450	25
451	31
452	35
453	34
454	37
455	38
456	31
457	29
458	32
459	26
460	20
461	30
462	15
463	26
464	23
465	19
466	21
467	15
468	23
469	22
470	24
471	21
472	14
473	24
474	22
475	26
476	16
477	33
478	26
479	18
480	37
481	25
482	29
483	24
484	31
485	34
486	21
487	20
488	20
489	22
490	26
491	23
492	26
493	25
494	16
495	18
496	18
497	24
498	20
499	19
500	19
501	22
502	14
503	20
504	33
505	17
506	24
507	16
508	21
509	27
510	29
511	22
512	28
513	24
514	22
515	15
516	19
517	18
518	23
519	22
520	24
521	25
522	17
523	24
524	21
525	14
526	14
527	10
528	16
529	25
530	26
531	20
532	9
533	20
534	15
535	12
536	14
537	24
538	17
539	20
540	19
541	18
542	22
543	13
544	64
545	31
546	35
547	33
548	17
549	24
550	44
551	20
552	36
553	22
554	16
555	12
556	10
557	13
558	19
559	10
560	14
561	19
562	15
563	23
564	14
565	9
566	12
567	15
568	18
569	15
570	19
571	16
572	12
573	15
574	8
575	19
576	20
577	15
578	17
579	11
580	14
581	23
582	6
583	16
584	16
585	21
586	15
587	11
588	9
589	15
590	7
591	19
592	13
593	14
594	8
595	11
596	13
597	7
598	10
599	8
600	13
601	11
602	12
603	8
604	11
605	16
606	10
607	11
608	9
609	14
610	15
611	5
612	10
613	11
614	11
615	18
616	7
617	19
618	10
619	12
620	13
621	8
622	14
623	11
624	13
625	15
626	11
627	16
628	13
629	10
630	9
631	12
632	16
633	7
634	8
635	14
636	14
637	8
638	6
639	16
640	5
641	10
642	11
643	7
644	6
645	14
646	9
647	11
648	8
649	5
650	10
651	9
652	10
653	4
654	12
655	11
656	6
657	8
658	5
659	8
660	10
661	11
662	3
663	15
664	13
665	16
666	9
667	12
668	11
669	8
670	7
671	12
672	13
673	10
674	5
675	10
676	5
677	6
678	14
679	10
680	9
681	6
682	11
683	10
684	7
685	6
686	6
687	14
688	12
689	8
690	5
691	15
692	11
693	7
694	4
695	7
696	7
697	5
698	4
699	8
700	19
701	8
702	8
703	5
704	5
705	6
706	31
707	17
708	8
709	3
710	9
711	31
712	5
713	27
714	21
715	10
716	5
717	7
718	23
719	6
720	29
721	8
722	16
723	13
724	19
725	6
726	4
727	16
728	7
729	6
730	10
731	10
732	8
733	5
734	9
735	6
736	11
737	3
738	8
739	6
740	12
741	3
742	8
743	1
744	8
745	7
746	4
747	7
748	8
749	10
750	7
751	12
752	10
753	9
754	7
755	9
756	10
757	6
758	5
759	6
760	6
761	9
762	9
763	11
764	5
765	10
766	11
767	12
768	14
769	10
770	11
771	7
772	8
773	10
774	8
775	7
776	5
777	6
778	7
779	11
780	7
781	6
782	16
783	5
784	6
785	4
786	9
787	6
788	11
789	8
790	2
791	1
792	7
793	7
794	3
795	5
796	8
797	9
798	12
799	6
800	7
801	3
802	4
803	6
804	5
805	8
806	10
807	4
808	6
809	4
810	3
811	7
812	6
813	3
814	5
815	1
816	10
817	8
818	6
819	3
820	4
821	6
822	11
823	8
824	7
825	3
826	6
827	3
828	11
829	6
830	5
831	7
832	5
833	3
834	6
835	11
836	6
837	8
838	13
839	2
840	6
841	8
842	6
843	3
844	3
845	3
846	5
847	3
848	4
849	14
850	17
851	18
852	7
853	2
854	14
855	5
856	1
857	19
858	5
859	3
860	3
861	4
862	16
863	7
864	7
865	6
866	6
867	7
868	4
869	2
870	6
871	6
872	3
873	5
874	4
875	3
876	4
877	6
878	7
879	3
880	4
881	13
882	4
883	6
884	2
885	7
886	5
887	6
888	8
889	8
890	8
891	6
892	5
893	5
894	6
895	8
896	5
897	5
898	2
899	2
900	2
901	6
902	6
903	8
904	4
905	4
906	7
907	5
908	7
909	2
910	4
911	6
912	3
913	6
914	3
915	4
916	6
917	1
918	8
919	3
920	1
921	3
922	4
924	2
925	4
926	4
927	5
928	3
929	2
930	1
931	2
932	2
933	4
934	2
935	4
936	1
937	6
938	24
939	11
940	7
941	7
942	26
943	5
944	6
945	4
946	3
947	6
948	7
949	6
950	1
951	7
952	2
953	22
954	4
955	66
956	48
957	4
958	23
960	23
961	6
962	7
963	6
964	6
965	3
966	6
967	3
968	7
969	5
970	6
971	5
972	5
973	6
974	7
975	3
976	5
977	5
978	3
979	2
980	6
981	2
982	1
983	9
984	6
985	5
986	6
987	2
988	1
989	3
990	3
991	3
992	3
993	6
994	5
995	5
996	11
997	3
998	6
999	1
1000	2
1001	2
1002	3
1003	2
1004	3
1005	5
1006	2
1008	5
1009	3
1011	4
1012	6
1013	2
1014	4
1015	7
1016	5
1017	5
1018	3
1019	5
1020	2
1021	1
1022	2
1024	1
1025	1
1026	1
1027	2
1028	5
1029	7
1030	5
1031	5
1032	2
1033	8
1034	4
1035	4
1036	4
1037	1
1038	2
1039	3
1040	1
1041	3
1042	2
1043	2
1044	1
1045	4
1046	2
1047	2
1048	5
1049	1
1050	5
1051	4
1052	2
1053	2
1054	1
1055	4
1056	4
1057	3
1058	1
1059	4
1060	3
1061	5
1062	5
1064	6
1065	3
1066	2
1068	4
1069	7
1070	5
1071	2
1072	2
1073	1
1074	1
1075	1
1078	3
1079	7
1080	2
1081	1
1082	2
1083	7
1085	1
1086	1
1087	2
1088	1
1089	4
1090	1
1091	2
1093	1
1094	4
1095	2
1097	1
1098	2
1099	2
1100	1
1101	2
1102	3
1103	3
1104	3
1105	2
1106	2
1108	3
1109	3
1110	1
1111	2
1112	3
1113	2
1114	4
1115	2
1116	3
1117	3
1119	3
1120	1
