#Depth	Count
1	6087653078
2	522695575
3	194392932
4	106343372
5	67829048
6	47506966
7	35155439
8	26996247
9	21273565
10	17065512
11	13866514
12	11430778
13	9509028
14	7996095
15	6776837
16	5797141
17	4998357
18	4358365
19	3842519
20	3416536
21	3069860
22	2775668
23	2525604
24	2302480
25	2105932
26	1930045
27	1770123
28	1619936
29	1482312
30	1356444
31	1243800
32	1149733
33	1064170
34	989764
35	927729
36	874177
37	832650
38	801520
39	778332
40	759521
41	746186
42	740774
43	733500
44	735276
45	734610
46	739018
47	747665
48	752404
49	760192
50	769352
51	779295
52	789368
53	803688
54	817319
55	830707
56	846578
57	860067
58	876126
59	888543
60	902166
61	911513
62	920834
63	929240
64	933454
65	934110
66	934236
67	931664
68	924034
69	915731
70	904623
71	887985
72	871387
73	849177
74	827901
75	802834
76	775991
77	749903
78	722527
79	692834
80	665367
81	639789
82	617191
83	591831
84	568053
85	544894
86	525089
87	506837
88	488577
89	474636
90	462775
91	452185
92	442845
93	436006
94	429250
95	422657
96	418833
97	415902
98	412273
99	410679
100	411642
101	410406
102	411918
103	412645
104	413189
105	414797
106	416013
107	416887
108	416631
109	416617
110	416803
111	417226
112	416230
113	414672
114	413569
115	411989
116	409281
117	405969
118	403571
119	399865
120	394791
121	390586
122	385973
123	381282
124	375137
125	368699
126	363165
127	356088
128	349985
129	342943
130	336916
131	331443
132	324527
133	317144
134	310664
135	304233
136	298304
137	294051
138	287145
139	281304
140	276070
141	268489
142	264680
143	257950
144	254116
145	249654
146	244868
147	240870
148	236503
149	232028
150	228571
151	225234
152	221578
153	218074
154	215346
155	210734
156	208284
157	205572
158	202875
159	199740
160	196771
161	195142
162	192931
163	190420
164	188297
165	186126
166	184704
167	182002
168	179884
169	177405
170	174568
171	172240
172	168920
173	166704
174	164054
175	162246
176	159411
177	156083
178	153429
179	150993
180	149386
181	146585
182	144334
183	141590
184	138814
185	136976
186	135335
187	132735
188	129830
189	127508
190	125208
191	122254
192	120039
193	118553
194	116677
195	114188
196	112094
197	110088
198	107635
199	105187
200	103517
201	101246
202	99872
203	98896
204	96827
205	95230
206	93776
207	92341
208	91121
209	90503
210	89058
211	88401
212	87449
213	86517
214	85756
215	85006
216	83639
217	83871
218	83497
219	82324
220	82518
221	81589
222	81281
223	81597
224	80543
225	80423
226	80275
227	80298
228	79733
229	79827
230	79337
231	79573
232	79097
233	78783
234	78522
235	78102
236	78323
237	78420
238	78091
239	77852
240	77722
241	77849
242	78000
243	77857
244	77634
245	77016
246	78030
247	76934
248	77714
249	77194
250	76541
251	75867
252	76560
253	76167
254	75418
255	75122
256	75313
257	74592
258	74906
259	74446
260	74729
261	74609
262	74374
263	74662
264	74434
265	74479
266	75011
267	74436
268	74771
269	74587
270	74985
271	74993
272	75450
273	75060
274	75603
275	75729
276	76104
277	76306
278	77238
279	76424
280	76828
281	77552
282	76788
283	77301
284	77848
285	78411
286	78438
287	78392
288	78600
289	78863
290	79853
291	79303
292	80361
293	79863
294	80409
295	81244
296	81084
297	82072
298	81156
299	82049
300	81863
301	81840
302	81650
303	82145
304	82218
305	81963
306	82376
307	82253
308	82381
309	82417
310	81908
311	82471
312	82251
313	82087
314	81631
315	81472
316	81101
317	81158
318	80650
319	80259
320	79885
321	79777
322	77895
323	77911
324	77202
325	76176
326	75937
327	75152
328	74239
329	73405
330	71769
331	71825
332	70798
333	69664
334	68643
335	67197
336	66825
337	64844
338	64924
339	63467
340	62572
341	61603
342	60493
343	59430
344	58330
345	57063
346	56196
347	54955
348	54162
349	52776
350	51695
351	50685
352	50275
353	48814
354	48013
355	46350
356	45954
357	45175
358	43879
359	42906
360	42111
361	41009
362	39698
363	39042
364	38283
365	36919
366	36258
367	35585
368	34612
369	33984
370	33325
371	32230
372	31738
373	31206
374	30400
375	29940
376	29299
377	29077
378	28370
379	28064
380	27228
381	26866
382	26432
383	25926
384	25552
385	25074
386	24698
387	24231
388	23815
389	23579
390	23542
391	23067
392	23237
393	22887
394	22426
395	22339
396	22045
397	22078
398	21709
399	21724
400	21440
401	21266
402	21165
403	20883
404	20633
405	20813
406	20685
407	20768
408	20633
409	20811
410	20575
411	20791
412	20744
413	21009
414	21234
415	20809
416	21075
417	20908
418	21408
419	21637
420	21280
421	21483
422	21196
423	21597
424	21642
425	21643
426	21897
427	21801
428	21659
429	22227
430	22248
431	22304
432	22615
433	22343
434	22737
435	23138
436	23346
437	23602
438	23680
439	23689
440	24008
441	23910
442	24179
443	24710
444	24663
445	25051
446	25197
447	25264
448	25538
449	26114
450	26157
451	26392
452	26370
453	27104
454	27340
455	27418
456	27784
457	27825
458	28236
459	28094
460	28373
461	28788
462	28749
463	29283
464	29723
465	30031
466	30093
467	30440
468	30530
469	30900
470	31647
471	31938
472	32381
473	32802
474	32555
475	32762
476	33116
477	33328
478	33811
479	34051
480	34920
481	34794
482	35533
483	35522
484	35536
485	36116
486	36144
487	36902
488	37310
489	37820
490	38085
491	38493
492	38827
493	39491
494	39791
495	39767
496	40309
497	40965
498	41451
499	41441
500	41767
501	42612
502	42763
503	43342
504	43899
505	43758
506	44169
507	44688
508	45224
509	45215
510	45336
511	45963
512	46603
513	46666
514	47356
515	47881
516	47685
517	48116
518	48426
519	48777
520	49212
521	49407
522	49350
523	49533
524	50097
525	50291
526	50493
527	50555
528	50810
529	51007
530	50885
531	51716
532	51443
533	51288
534	51741
535	51348
536	51576
537	51601
538	51627
539	51512
540	52167
541	51863
542	51863
543	52039
544	51863
545	51666
546	51397
547	51485
548	51819
549	51529
550	51245
551	51369
552	51364
553	51373
554	50695
555	50878
556	50636
557	50078
558	49923
559	49745
560	49528
561	49253
562	49424
563	48794
564	48259
565	47974
566	47938
567	47535
568	47368
569	46286
570	46406
571	45625
572	45550
573	45108
574	44501
575	44166
576	43889
577	43294
