#Depth	Count
1	5774389592
2	849587623
3	145095673
4	76645510
5	37496098
6	24273516
7	16897607
8	12387037
9	9405478
10	7365506
11	5875096
12	4805430
13	3972349
14	3337296
15	2830318
16	2428013
17	2093800
18	1815564
19	1575305
20	1375491
21	1201419
22	1059328
23	932793
24	824928
25	728894
26	644772
27	575528
28	514698
29	462287
30	417962
31	380289
32	346166
33	317255
34	293432
35	271098
36	249868
37	232931
38	219062
39	204108
40	191516
41	180465
42	168737
43	160028
44	150482
45	142653
46	135121
47	127890
48	121392
49	115589
50	109621
51	104648
52	100197
53	95509
54	92034
55	87958
56	84888
57	81179
58	78136
59	75182
60	71576
61	69080
62	67242
63	64325
64	61735
65	59800
66	58701
67	56865
68	54662
69	53009
70	51629
71	49893
72	49151
73	47653
74	46312
75	45110
76	44033
77	43093
78	41881
79	41195
80	39820
81	39206
82	37881
83	37289
84	36622
85	35635
86	34831
87	34129
88	33587
89	32509
90	32362
91	31350
92	30897
93	30107
94	29619
95	29185
96	29003
97	27965
98	27542
99	27195
100	26161
101	25773
102	25537
103	25056
104	24563
105	23592
106	23394
107	22865
108	22317
109	21778
110	21571
111	21100
112	20689
113	20533
114	19791
115	19298
116	19007
117	18833
118	18154
119	17922
120	17676
121	17535
122	17168
123	16400
124	16507
125	16015
126	15827
127	15179
128	15136
129	14586
130	14589
131	14283
132	13932
133	13694
134	13398
135	12941
136	12663
137	12897
138	12415
139	12221
140	11938
141	11886
142	11496
143	11381
144	11223
145	10883
146	10768
147	10673
148	10329
149	10129
150	10338
151	10050
152	9709
153	9638
154	9305
155	9307
156	9135
157	9010
158	8891
159	9008
160	8714
161	8391
162	8521
163	8407
164	8112
165	7937
166	7831
167	7974
168	7627
169	7661
170	7468
171	7333
172	7324
173	7090
174	7189
175	7008
176	6985
177	6849
178	6745
179	6557
180	6483
181	6541
182	6458
183	6372
184	6228
185	6204
186	6121
187	6119
188	5940
189	5895
190	5880
191	5652
192	5527
193	5563
194	5497
195	5501
196	5544
197	5397
198	5194
199	5408
200	5275
201	5204
202	5169
203	5184
204	5132
205	4898
206	4898
207	4812
208	4678
209	4703
210	4592
211	4578
212	4549
213	4548
214	4431
215	4520
216	4443
217	4369
218	4272
219	4243
220	4211
221	4280
222	4169
223	4155
224	4000
225	4132
226	3944
227	3893
228	3877
229	3873
230	3687
231	3688
232	3727
233	3611
234	3679
235	3571
236	3607
237	3477
238	3450
239	3642
240	3499
241	3409
242	3330
243	3458
244	3289
245	3394
246	3197
247	3234
248	3214
249	3180
