#Depth	Count
1	2671432533
2	356803156
3	202465204
4	138698289
5	96862535
6	68115737
7	48694924
8	35689341
9	27082509
10	21415994
11	17725013
12	15244914
13	13621561
14	12533821
15	11781678
16	11258537
17	10861647
18	10553456
19	10269301
20	10002277
21	9732195
22	9456172
23	9170770
24	8868290
25	8544048
26	8205608
27	7869579
28	7519097
29	7168891
30	6812656
31	6455392
32	6119938
33	5792067
34	5462225
35	5144551
36	4838252
37	4550670
38	4270122
39	4009587
40	3763142
41	3532133
42	3309527
43	3100301
44	2899286
45	2713456
46	2538072
47	2377259
48	2229157
49	2092402
50	1966037
51	1851149
52	1740848
53	1640611
54	1555072
55	1476873
56	1406823
57	1342601
58	1284590
59	1228732
60	1178952
61	1132774
62	1091064
63	1045459
64	1004104
65	964360
66	922801
67	884726
68	849136
69	810279
70	772508
71	737218
72	699682
73	666730
74	632931
75	599528
76	570945
77	540092
78	510686
79	483068
80	454825
81	430699
82	405822
83	381338
84	358352
85	339021
86	318845
87	298404
88	280287
89	262478
90	246113
91	229937
92	214948
93	200669
94	187510
95	174851
96	163274
97	152376
98	142766
99	132899
100	124278
101	116439
102	108193
103	102082
104	94984
105	89391
106	83897
107	78718
108	74473
109	70043
110	65863
111	62909
112	59887
113	56426
114	54201
115	50981
116	48424
117	47035
118	44623
119	43197
120	40984
121	40168
122	38878
123	37139
124	36183
125	35100
126	34755
127	34158
128	33807
129	33413
130	33414
131	33218
132	32955
133	33758
134	33780
135	33672
136	34825
137	35352
138	36051
139	36674
140	37163
141	38117
142	38922
143	40010
144	41083
145	42264
146	42925
147	44394
148	45899
149	46650
150	48074
151	49360
152	50513
153	51516
154	52883
155	54262
156	55326
157	56450
158	57846
159	58663
160	59955
161	61202
162	62018
163	62942
164	63592
165	64391
166	65023
167	65415
168	66372
169	66970
170	68183
171	68963
172	69741
173	70260
174	71243
175	71201
176	71905
177	72336
178	72430
179	72696
180	73531
181	73669
182	73917
183	74716
184	74767
185	74172
186	73857
187	73826
188	73800
189	73120
190	72880
191	72833
192	72681
193	72534
194	71897
195	71575
196	72026
197	70907
198	70777
199	70089
200	69851
201	69515
202	69368
203	68656
204	68224
205	67580
206	67561
207	67321
208	67068
209	66525
210	66505
211	65913
212	65424
213	65587
214	64343
215	63911
216	63344
217	63652
218	62647
219	62499
220	61589
221	60666
222	60465
223	60674
224	59428
225	58924
226	58572
227	57751
228	57028
229	56827
230	55973
231	54983
232	54502
233	53866
234	53075
235	52228
236	51514
237	50985
238	49775
239	49561
240	49155
241	48038
242	47947
243	47088
244	46155
245	45858
246	44825
247	43908
248	43599
249	42965
250	42470
251	41273
252	40523
253	39801
254	38929
255	38766
256	37596
257	36680
258	35521
259	35041
260	33643
261	33203
262	31773
263	31348
264	30312
265	29833
266	28572
267	28032
268	27215
269	26306
270	25719
271	24613
272	24179
273	23594
274	22871
275	22157
276	21421
277	20638
278	20101
279	19355
280	18760
281	17873
282	16972
283	16440
284	15708
285	15178
286	14527
287	14177
288	13434
289	13102
290	12484
291	12238
292	11657
293	11170
294	10745
295	10019
296	9671
297	9390
298	8995
299	8536
300	8303
301	7756
302	7478
303	7219
304	6991
305	6762
306	6597
307	6314
308	6131
309	5833
310	5662
311	5242
312	5175
313	4918
314	4676
315	4612
316	4537
317	4339
318	4146
319	4128
320	3851
321	3643
322	3515
323	3465
324	3310
325	3113
326	3053
327	2952
328	2787
329	2707
330	2686
331	2586
332	2503
333	2431
334	2268
335	2321
336	2293
337	2260
338	2116
339	2045
340	2000
341	1918
342	1819
343	1748
344	1688
345	1726
346	1720
347	1656
348	1580
349	1608
350	1560
351	1564
352	1483
353	1435
354	1394
355	1308
356	1312
357	1279
358	1195
359	1206
360	1218
361	1246
362	1197
363	1240
364	1207
365	1186
366	1168
367	1191
368	1129
369	1119
370	1093
371	1129
372	1082
373	1099
374	1104
375	1153
376	1161
377	1137
378	1159
379	1169
380	1169
381	1059
382	1072
383	1011
384	1003
385	982
386	1018
387	1039
388	1040
389	1074
390	1022
391	1002
392	977
393	1029
394	1023
395	1025
396	1044
397	1016
398	1063
399	1042
400	1099
401	1088
402	1032
403	1057
404	1085
405	1146
406	1036
407	1006
408	1053
409	1040
410	1101
411	1115
412	1108
413	1150
414	1200
415	1174
416	1155
417	1116
418	1114
419	1113
420	1126
421	1086
422	1140
423	1136
424	1116
425	1196
426	1130
427	1191
428	1085
429	1148
430	1132
431	1091
432	1139
433	1104
434	1079
435	1131
436	1073
437	1081
438	1086
439	1108
440	993
441	1022
442	1094
443	1035
444	989
445	1037
446	1078
447	1032
448	1043
449	1034
450	1068
451	1033
452	1050
453	1036
454	996
455	997
456	1016
457	982
458	1007
459	954
460	967
461	921
462	997
463	940
464	960
465	907
466	879
467	898
468	854
469	924
470	810
471	894
472	877
473	876
474	802
475	807
476	742
477	741
478	799
479	785
480	748
481	709
482	665
483	693
484	710
485	659
486	687
487	586
488	658
489	614
490	599
491	604
492	575
493	535
494	599
495	547
496	550
497	548
498	539
499	554
500	556
501	548
502	512
503	521
504	531
505	493
506	528
507	558
508	484
509	491
510	509
511	463
512	474
513	451
514	441
515	432
516	452
517	434
518	457
519	438
520	413
521	461
522	452
523	441
524	411
525	420
526	401
527	415
528	394
529	417
530	402
531	418
532	386
533	395
534	416
535	389
536	389
537	391
538	341
539	409
540	388
541	387
542	352
543	409
544	383
545	353
546	390
547	364
548	407
549	342
550	371
551	359
552	365
553	370
554	357
555	398
556	376
557	372
558	389
559	355
560	353
561	388
562	377
563	378
564	377
565	360
566	373
567	380
568	346
569	374
570	412
571	361
572	399
573	363
574	383
575	387
576	363
577	352
578	378
579	340
580	363
581	355
582	361
583	351
584	336
585	342
586	349
587	322
588	350
589	334
590	376
591	366
592	367
593	339
594	344
595	335
596	349
597	335
598	337
599	347
600	340
601	302
602	335
603	410
604	343
605	401
606	355
607	371
608	358
609	376
610	351
611	331
612	347
613	362
614	366
615	361
616	381
617	351
618	353
619	340
620	348
621	344
622	355
623	305
624	317
625	302
626	305
627	305
628	271
629	303
630	351
631	362
632	337
633	291
634	337
635	309
636	366
637	326
638	310
639	354
640	348
641	341
642	332
643	327
644	344
645	342
646	328
647	352
648	313
649	309
650	323
651	344
652	314
653	351
654	349
655	346
656	320
657	338
658	321
659	335
660	322
661	347
662	309
663	305
664	318
665	298
666	295
667	315
668	287
669	281
670	273
671	314
672	326
673	300
674	295
675	272
676	312
677	250
678	259
679	265
680	273
681	256
682	252
683	280
684	300
685	284
686	255
687	241
688	255
689	259
690	264
691	256
692	259
693	261
694	253
695	268
696	214
697	266
698	263
699	259
700	261
701	266
702	271
703	303
704	236
705	252
706	292
707	272
708	271
709	274
710	248
711	270
712	293
713	247
714	269
715	268
716	268
717	247
718	258
719	279
720	218
721	256
722	230
723	257
724	243
725	235
726	248
727	254
728	240
729	239
730	241
731	226
732	245
733	226
734	215
735	217
736	187
737	232
738	208
739	207
740	185
741	184
742	181
743	199
744	173
745	203
746	187
747	168
748	168
749	141
750	166
751	170
752	149
753	153
754	173
755	156
756	155
757	170
758	145
759	158
760	166
761	153
762	132
763	140
764	122
765	156
766	135
767	145
768	139
769	142
770	135
771	117
772	144
773	132
774	144
775	150
776	127
777	166
778	115
779	151
780	139
781	147
782	131
783	130
784	124
785	133
786	125
787	141
788	125
789	123
790	148
791	118
792	140
793	127
794	131
795	150
796	133
797	126
798	115
799	106
800	94
801	109
802	130
803	104
804	109
805	118
806	109
807	106
808	105
809	95
810	98
811	102
812	136
813	124
814	114
815	130
816	120
817	127
818	120
819	102
820	103
821	107
822	105
823	107
824	112
825	102
826	107
827	110
828	115
829	97
830	98
831	115
832	101
833	124
834	103
835	88
836	101
837	108
838	99
839	111
840	99
841	113
842	79
843	81
844	98
845	81
846	82
847	85
848	88
849	79
850	76
851	80
852	83
853	81
854	83
855	77
856	69
857	80
858	81
859	86
860	89
861	88
862	75
