#Depth	Count
1	901013608
2	64745345
3	35760400
4	24476648
5	17656913
6	13238919
7	10220792
8	8071280
9	6537063
10	5408008
11	4580321
12	3957280
13	3463915
14	3069594
15	2743942
16	2454662
17	2206619
18	1974432
19	1759773
20	1564047
21	1380406
22	1214058
23	1064127
24	928318
25	808851
26	708561
27	621024
28	549791
29	488882
30	439714
31	400426
32	369307
33	343080
34	322566
35	304330
36	289898
37	276562
38	264694
39	254278
40	243095
41	233558
42	224905
43	216210
44	207423
45	200261
46	191564
47	183500
48	176466
49	169733
50	163597
51	157088
52	151895
53	147265
54	142205
55	137304
56	132969
57	129068
58	125713
59	121699
60	118273
61	114612
62	112229
63	108811
64	106130
65	104152
66	100676
67	96752
68	93775
69	90651
70	88590
71	85576
72	83327
73	81148
74	78442
75	76317
76	73270
77	71432
78	69218
79	66882
80	64456
81	62051
82	59585
83	57122
84	55121
85	52729
86	51313
87	49344
88	47298
89	45606
90	43965
91	41728
92	40119
93	39017
94	37292
95	35929
96	33813
97	32853
98	31382
99	29994
100	28734
101	27471
102	25981
103	24815
104	23881
105	22670
106	21689
107	20806
108	19649
109	18421
110	17437
111	16305
112	15544
113	14648
114	13640
115	13009
116	12301
117	11637
118	10831
119	10202
120	9464
121	8895
122	8391
123	7904
124	7340
125	6907
126	6341
127	5866
128	5407
129	5058
130	4592
131	4211
132	3961
133	3630
134	3318
135	3126
136	2877
137	2698
138	2408
139	2267
140	2121
141	1979
142	1835
143	1655
144	1514
145	1344
146	1347
147	1294
148	1148
149	1095
150	1104
151	1021
152	956
153	983
154	932
155	853
156	845
157	854
158	780
159	688
160	675
161	634
162	635
163	642
164	660
165	619
166	611
167	625
168	576
169	558
170	501
171	534
172	482
173	472
174	514
175	523
176	523
177	527
178	513
179	430
180	482
181	476
182	467
183	461
184	461
185	407
186	438
187	412
188	373
189	393
190	392
191	405
192	346
193	330
194	319
195	374
196	377
197	358
198	332
199	355
200	329
201	299
202	327
203	280
204	276
205	305
206	211
207	272
208	284
209	250
210	269
211	255
212	250
213	232
214	220
215	236
216	245
217	214
218	219
219	224
220	225
221	211
222	244
223	233
224	221
225	230
226	236
227	229
228	246
229	243
230	257
231	226
232	229
233	231
234	197
235	213
236	199
237	193
238	201
239	202
240	200
241	185
242	209
243	189
244	178
245	167
246	200
247	176
248	149
249	161
250	150
251	164
252	163
253	165
254	152
255	147
256	163
257	168
258	153
259	128
260	173
261	168
262	156
263	173
264	194
265	159
266	169
267	170
268	168
269	189
270	174
271	157
272	169
273	205
274	184
275	204
276	197
277	183
278	189
279	224
280	200
281	195
282	188
283	174
284	184
285	202
286	196
287	180
288	214
289	194
290	199
291	215
292	211
293	229
294	224
295	245
296	228
297	267
298	258
299	231
300	260
301	243
302	244
303	282
304	270
305	270
306	256
307	285
308	252
309	262
310	237
311	271
312	288
313	270
314	297
315	267
316	280
317	322
318	288
319	324
320	326
321	318
322	332
323	323
324	310
325	315
326	324
327	315
328	323
329	301
330	321
331	349
332	331
333	367
334	354
335	373
336	335
337	354
338	394
339	329
340	369
341	332
342	351
343	346
344	340
345	339
346	343
347	383
348	376
349	393
350	365
351	368
352	365
353	393
354	375
355	344
356	373
357	343
358	344
359	351
360	358
361	378
362	326
363	308
364	345
365	341
366	350
367	319
368	329
369	287
370	309
371	298
372	301
373	305
374	282
375	301
376	282
377	299
378	302
379	328
380	293
381	299
382	266
383	263
384	259
385	245
386	261
387	245
388	243
389	222
390	196
391	250
392	205
393	207
394	201
395	183
396	187
397	185
398	162
399	179
400	169
401	177
402	160
403	156
404	121
405	145
406	128
407	140
408	148
409	133
410	142
411	122
412	122
413	119
414	108
415	119
416	110
417	120
418	123
419	108
420	111
421	110
422	102
423	105
424	113
425	111
426	100
427	80
428	72
429	88
430	75
431	76
432	82
433	86
434	64
435	85
436	56
437	53
438	59
439	69
440	52
441	51
442	52
443	61
444	51
445	47
446	48
447	47
448	45
449	32
450	41
451	36
452	41
453	33
454	31
455	41
456	31
457	40
458	35
459	43
460	46
461	45
462	46
463	39
464	37
465	37
466	30
467	32
468	22
469	30
470	33
471	25
472	29
473	28
474	19
475	18
476	21
477	22
478	16
479	20
480	17
481	21
482	20
483	15
484	16
485	18
486	20
487	21
488	19
489	15
490	17
491	26
492	15
493	19
494	21
495	33
496	20
497	18
498	18
499	15
500	21
501	15
502	22
503	10
504	4
505	13
506	15
507	15
508	14
509	14
510	13
511	10
512	9
513	10
514	14
515	19
516	15
517	12
518	11
519	16
520	12
521	11
522	11
523	11
524	18
525	11
526	14
527	9
528	6
529	12
530	13
531	9
532	15
533	7
534	10
535	16
536	4
537	13
538	10
539	12
540	8
541	14
542	6
543	8
544	18
545	14
546	9
547	13
548	17
549	11
550	10
551	8
552	11
553	7
554	8
555	11
556	15
557	13
558	15
559	7
560	11
561	12
562	11
563	8
564	10
565	9
566	8
567	9
568	12
569	10
570	6
571	8
572	4
573	16
574	14
575	11
576	5
577	13
578	8
579	12
580	5
581	8
582	14
583	15
584	10
585	8
586	9
587	7
588	7
589	6
590	11
591	3
592	4
593	4
594	6
595	11
596	7
597	6
598	16
599	9
600	8
601	8
602	5
603	12
604	17
605	5
606	13
607	5
608	7
609	6
610	9
611	12
612	5
613	8
614	4
615	5
616	10
617	5
618	10
619	7
620	5
621	7
622	14
623	7
624	7
625	7
626	7
627	11
628	6
629	7
630	6
631	4
632	3
633	8
634	4
635	8
636	11
637	7
638	10
639	11
640	6
641	9
642	6
643	6
644	13
645	17
646	13
647	7
648	8
649	11
650	8
651	7
652	9
653	5
654	10
655	11
656	4
657	11
658	9
659	6
660	18
661	9
662	8
663	8
664	7
665	9
666	10
667	12
668	9
669	7
670	7
671	5
672	11
673	11
674	8
675	9
676	9
677	5
678	6
679	11
680	5
681	5
682	7
683	8
684	11
685	5
686	10
687	12
688	3
689	8
690	8
691	12
692	8
693	15
694	3
695	5
696	5
697	8
698	4
699	6
700	7
701	2
702	11
703	8
704	9
705	11
706	5
707	8
708	9
709	6
710	5
711	7
712	12
713	4
714	6
715	10
716	16
717	11
718	5
719	10
720	8
721	12
722	10
723	13
724	5
725	6
726	6
727	10
728	9
729	8
730	11
731	4
732	5
733	14
734	11
735	15
736	5
737	7
738	16
739	13
740	15
741	9
742	11
743	6
744	18
745	11
746	18
747	11
748	17
749	10
750	12
751	10
752	12
753	12
754	10
755	19
756	12
757	13
758	17
759	5
760	10
761	15
762	13
763	10
764	15
765	6
766	11
767	14
768	14
769	9
770	13
771	11
772	10
773	16
774	10
775	7
776	17
777	13
778	9
779	12
780	6
781	10
782	11
783	12
784	20
785	6
786	12
787	6
788	6
789	15
790	6
791	12
792	13
793	6
794	8
795	6
796	9
797	7
798	16
799	2
800	7
801	9
802	7
803	8
804	7
805	11
806	7
807	6
808	11
809	7
810	16
811	15
812	13
813	7
814	16
815	14
816	13
817	6
818	7
819	21
820	15
821	11
822	12
823	8
824	15
825	11
826	9
827	10
828	16
829	17
830	12
831	14
832	16
833	8
834	9
835	11
836	19
837	11
838	13
839	10
840	9
841	12
842	15
843	10
844	12
845	15
846	14
847	12
848	11
849	13
850	11
851	8
852	13
853	17
854	15
855	14
856	13
857	10
858	6
859	11
860	16
861	10
862	6
863	6
864	20
865	16
866	7
867	5
868	10
869	7
870	9
871	10
872	8
873	9
874	15
875	14
876	14
877	12
878	16
879	16
880	12
881	19
882	13
883	7
