#Depth	Count
1	598709389
2	17995953
3	1891792
4	411072
5	122634
6	46268
7	21389
8	11592
9	6888
10	4069
11	2836
12	2138
13	1484
14	1151
15	1000
16	766
17	525
18	495
19	341
20	286
21	226
22	236
23	172
24	145
25	115
26	104
27	78
28	85
29	57
30	66
31	80
32	50
33	51
34	48
35	46
36	32
37	19
38	24
39	26
40	24
41	32
42	24
43	24
44	13
45	15
46	12
47	9
48	20
49	14
50	23
51	15
52	16
53	14
54	18
55	18
56	19
57	11
58	12
59	13
60	22
61	19
62	14
63	9
64	12
65	12
66	9
67	9
68	7
69	11
70	5
71	9
72	3
73	6
74	6
75	7
76	8
77	8
78	8
79	5
80	8
81	6
82	5
83	7
84	6
85	3
86	4
87	1
88	6
89	7
90	9
91	8
92	2
93	2
94	4
95	2
97	1
98	1
101	1
103	3
105	2
106	2
107	2
108	1
109	1
111	3
112	2
115	1
116	3
117	2
118	2
119	1
120	1
122	1
126	1
127	1
129	2
131	1
133	1
134	1
139	1
140	1
146	2
147	1
148	2
155	1
156	1
159	1
165	1
166	1
167	1
171	1
172	1
175	1
177	1
179	2
180	1
185	3
186	1
187	3
188	1
190	2
191	1
200	1
201	1
204	3
205	2
208	1
213	1
222	1
223	1
224	1
225	1
228	1
236	1
247	3
256	1
258	1
264	1
270	1
271	1
274	1
275	1
280	1
283	1
284	1
287	2
288	3
291	2
293	1
294	1
296	1
304	1
305	1
312	2
316	1
317	1
320	1
321	1
323	1
325	1
327	1
331	1
337	1
346	1
362	1
379	1
385	1
395	1
398	1
400	1
401	1
404	1
405	1
407	1
413	1
434	1
439	1
441	1
488	1
491	1
526	1
528	1
531	1
536	1
537	1
538	1
546	1
547	1
551	1
553	1
570	1
576	1
582	1
587	1
598	1
605	1
628	1
638	1
653	1
655	1
660	1
663	1
668	1
676	1
680	1
684	1
686	1
688	2
715	1
732	1
733	1
735	1
742	1
748	1
760	1
792	1
800	1
805	1
818	1
823	1
841	1
872	1
895	1
907	1
953	1
956	1
984	1
1017	1
1063	1
1083	1
1120	1
1292	1
1415	1
1531	1
1539	1
2278	1
3392	1
3486	1
4926	1
4961	1
6673	1
8149	1
8235	1
8640	1
8858	1
8994	1
9078	1
9164	1
9271	1
9352	1
9442	1
9523	1
9566	1
9625	1
9651	1
9715	1
9767	1
9827	1
9915	1
9967	1
10039	1
10134	1
10311	1
10413	1
10544	1
10652	1
10735	1
10875	1
10984	1
11161	1
11265	1
11390	1
11583	1
12846	1
13072	1
13276	1
13466	1
13715	1
13888	1
14100	1
14303	1
14470	1
14680	1
14883	1
