#Coverage	numBases
0	2381399213
1	339137485
2	165064083
3	75796143
4	49779230
5	35981467
6	27242489
7	20632834
8	15545012
9	11633465
10	8659978
11	6457480
12	4799450
13	3568762
14	2671904
15	2025653
16	1557811
17	1216319
18	968189
19	803733
20	689014
21	597966
22	542828
23	501433
24	475364
25	451098
26	434685
27	421597
28	402220
29	387610
30	365055
31	343019
32	323350
33	300473
34	280077
35	254919
36	230305
37	208943
38	186427
39	166471
40	147230
41	128669
42	111778
43	97513
44	82157
45	69361
46	59364
47	50604
48	42931
49	36824
50	30910
51	26637
52	22332
53	19270
54	16471
55	14158
56	12440
57	10767
58	9672
59	8432
60	7704
61	6900
62	6362
63	5897
64	5638
65	5237
66	4809
67	4621
68	4406
69	4090
70	3895
71	3612
72	3381
73	3241
74	3369
75	3024
76	3050
77	2862
78	2601
79	2331
80	2094
81	2047
82	1923
83	1986
84	1749
85	1873
86	1921
87	1738
88	1565
89	1490
90	1412
91	1384
92	1474
93	1537
94	1484
95	1522
96	1535
97	1492
98	1405
99	1353
100	1375
101	1364
102	1222
103	1144
104	1043
105	915
106	1005
107	921
108	905
109	846
110	775
111	775
112	693
113	689
114	650
115	655
116	665
117	667
118	485
119	470
120	428
121	434
122	419
123	388
124	354
125	361
126	363
127	329
128	306
129	244
130	252
131	268
132	274
133	272
134	263
135	291
136	215
137	230
138	193
139	265
140	222
141	239
142	170
143	203
144	231
145	189
146	244
147	221
148	198
149	207
150	223
151	211
152	188
153	204
154	192
155	174
156	214
157	208
158	194
159	147
160	175
161	176
162	168
163	178
164	184
165	194
166	188
167	152
168	185
169	181
170	211
171	213
172	212
173	184
174	192
175	228
176	194
177	185
178	180
179	143
180	117
181	106
182	95
183	126
184	147
185	154
186	131
187	116
188	121
189	116
190	129
191	113
192	107
193	108
194	112
195	126
196	81
197	122
198	109
199	111
200	89
201	89
202	107
203	156
204	177
205	131
206	102
207	80
208	105
209	108
210	124
211	125
212	106
213	91
214	68
215	64
216	81
217	65
218	93
219	87
220	76
221	58
222	63
223	49
224	38
225	44
226	45
227	51
228	47
229	36
230	38
231	64
232	44
233	50
234	47
235	46
236	31
237	61
238	82
239	68
240	38
241	61
242	63
243	65
244	60
245	75
246	43
247	56
248	51
249	63
250	54
251	58
252	49
253	49
254	38
255	45
256	49
257	59
258	42
259	37
260	41
261	31
262	30
263	32
264	24
265	33
266	33
267	31
268	21
269	19
270	21
271	26
272	12
273	23
274	26
275	32
276	29
277	27
278	31
279	34
280	31
281	30
282	44
283	47
284	29
285	28
286	28
287	19
288	26
289	20
290	18
291	17
292	27
293	29
294	31
295	36
296	28
297	26
298	27
299	46
300	40
301	43
302	26
303	33
304	14
305	35
306	33
307	32
308	20
309	23
310	13
311	8
312	14
313	8
314	5
315	7
316	9
317	15
318	25
319	20
320	10
321	15
322	17
323	7
324	9
325	5
326	11
327	11
328	15
329	12
330	11
331	14
332	11
333	7
334	7
335	4
336	7
337	3
338	6
339	4
340	5
341	3
342	7
343	7
344	8
345	0
346	3
347	2
348	2
349	2
350	1
351	4
352	3
353	3
354	3
355	0
356	2
357	2
358	2
359	1
360	1
361	2
362	3
363	3
364	3
365	2
366	3
367	1
368	3
369	3
370	2
371	7
372	2
373	3
374	9
375	9
376	6
377	7
378	2
379	4
380	6
381	4
382	5
383	5
384	3
385	2
386	9
387	6
388	6
389	0
390	2
391	0
392	1
393	0
394	3
395	2
396	1
397	2
398	1
399	2
400	2
401	5
402	5
403	3
404	5
405	12
406	10
407	3
408	6
409	8
410	10
411	5
412	4
413	8
414	7
415	8
416	7
417	4
418	10
419	8
420	5
421	2
422	1
423	3
424	1
425	3
426	13
427	12
428	9
429	15
430	8
431	14
432	17
433	4
434	9
435	6
436	7
437	5
438	2
439	3
440	3
441	3
442	1
