#Depth	Count
1	2521822110
2	360780296
3	210490634
4	145923111
5	102204090
6	71641589
7	50747525
8	36815392
9	27730248
10	21802647
11	17982120
12	15467512
13	13778930
14	12580571
15	11629658
16	10855714
17	10157893
18	9484168
19	8865128
20	8254581
21	7697227
22	7194620
23	6750077
24	6370921
25	6045679
26	5757463
27	5527175
28	5316382
29	5137211
30	4977444
31	4823790
32	4676569
33	4521891
34	4360855
35	4193899
36	4018076
37	3845655
38	3667486
39	3487116
40	3316513
41	3148397
42	2988770
43	2831395
44	2675011
45	2539884
46	2408910
47	2281165
48	2162684
49	2051715
50	1955364
51	1856089
52	1769888
53	1680381
54	1594610
55	1515275
56	1441932
57	1365966
58	1298389
59	1231123
60	1171357
61	1108585
62	1054748
63	1000019
64	950762
65	908121
66	870187
67	837205
68	806125
69	776914
70	749393
71	726940
72	706043
73	685833
74	666975
75	649367
76	631494
77	614462
78	599321
79	581882
80	568746
81	553382
82	539301
83	524883
84	511623
85	496277
86	479879
87	465347
88	453124
89	438085
90	422920
91	409220
92	395762
93	382987
94	367356
95	353959
96	341458
97	329173
98	317657
99	305596
100	295419
101	284668
102	276039
103	267559
104	257870
105	250287
106	243212
107	234527
108	226677
109	218909
110	212876
111	204524
112	199051
113	192373
114	185944
115	180208
116	175774
117	170241
118	164509
119	158153
120	154238
121	149007
122	144492
123	140404
124	135685
125	131024
126	127416
127	124376
128	120719
129	117765
130	115184
131	111953
132	108847
133	105771
134	102842
135	101954
136	99227
137	97672
138	96404
139	94384
140	92079
141	91569
142	90151
143	89499
144	88381
145	88112
146	87471
147	86315
148	86167
149	84815
150	84712
151	84743
152	84287
153	84161
154	84404
155	83934
156	84314
157	84014
158	84666
159	85018
160	85126
161	85479
162	85659
163	86158
164	87126
165	86901
166	86879
167	87164
168	87709
169	87892
170	87858
171	88387
172	87996
173	87749
174	87268
175	87026
176	86662
177	85884
178	85187
179	84927
180	83700
181	82573
182	81997
183	81044
184	80171
185	79253
186	78259
187	77372
188	76490
189	75728
190	73694
191	72943
192	72347
193	71345
194	69687
195	69195
196	67582
197	65811
198	64837
199	63752
200	61972
201	61168
202	59414
203	57710
204	57129
205	55775
206	54934
207	53449
208	52132
209	50623
210	48870
211	48211
212	46422
213	45395
214	44640
215	43317
216	42549
217	40936
218	39567
219	39321
220	37901
221	37254
222	36479
223	35375
224	34530
225	33412
226	32822
227	32243
228	31112
229	30240
230	29463
231	28696
232	27808
233	27497
234	26594
235	25912
236	25434
237	24893
238	24110
239	23327
240	22982
241	22381
242	22011
243	21582
244	21221
245	20863
246	20840
247	20133
248	20038
249	19614
250	19322
251	18859
252	18473
253	18599
254	18498
255	17975
256	17652
257	17261
258	17045
259	16667
260	16766
261	16445
262	16363
263	16130
264	15699
265	15484
266	15424
267	15221
268	14905
269	14683
270	14400
271	14200
272	14007
273	13623
274	13611
275	13587
276	13112
277	13336
278	13128
279	12752
280	12803
281	12701
282	12604
283	12585
284	12634
285	12405
286	12405
287	12421
288	12147
289	12171
290	12221
291	12298
292	11790
293	11821
294	11839
295	11653
296	11545
297	11186
298	11364
299	11068
300	11033
301	10914
302	10959
303	10639
304	10707
305	10560
306	10193
307	10000
308	9942
309	9693
310	9812
311	9821
312	9562
313	9527
314	9517
315	9127
316	9285
317	9045
318	8786
319	8835
320	8484
321	8432
322	8247
323	8051
324	8134
325	7832
326	7727
327	7644
328	7528
329	7388
330	7297
331	7149
332	7190
333	6965
334	7019
335	6906
336	6817
337	6789
338	6658
339	6369
340	6326
341	6131
342	6087
343	5722
344	5824
345	5572
346	5457
347	5686
348	5286
349	5169
350	5271
351	5162
352	5293
353	5210
354	4953
355	5097
356	5039
357	4878
358	4796
359	4779
360	4627
361	4678
362	4482
363	4550
364	4389
365	4384
366	4215
367	4115
368	4038
369	4054
370	3918
371	3932
372	3739
373	3749
374	3711
375	3659
376	3550
377	3628
378	3471
379	3464
380	3399
381	3285
382	3314
383	3135
384	3087
385	3108
386	3033
387	2987
388	2926
389	2880
390	2868
391	2903
392	2799
393	2645
394	2706
395	2714
396	2647
397	2567
398	2531
399	2478
400	2480
401	2467
402	2329
403	2287
404	2118
405	2194
406	2141
407	2125
408	2074
409	2040
410	1907
411	1939
412	1786
413	1766
414	1776
415	1737
416	1582
417	1641
418	1627
419	1643
420	1529
421	1570
422	1451
423	1391
424	1298
425	1342
426	1267
427	1305
428	1269
429	1184
430	1230
431	1139
432	1051
433	1085
434	1064
435	1059
436	982
437	999
438	1048
439	953
440	1000
441	902
442	897
443	964
444	930
445	835
446	859
447	784
448	806
449	793
450	751
451	771
452	754
453	728
454	742
455	733
456	755
457	714
458	659
459	637
460	671
461	616
462	640
463	637
