name	reads	bases	unique kmers
SRR061157.fastq.gz	33195932	6639186400	1881490155
SRR512766.fastq.gz	22260415	5030853790	3716832750
SRR096387.fastq.gz	14781841	2985931882	1336547361
SRR096386.fastq.gz	16047965	3241688930	1412451139
/global/dna/dm_archive/sdm/illumina/00/65/58/6558.7.47340.GTGAAA.fastq.gz	16047965	3241688930	1412451139
/global/dna/dm_archive/sdm/illumina/00/88/52/8852.1.113741.GTAGAG.fastq.gz	96065762	14505930062	6999721328
/global/dna/dm_archive/sdm/illumina/00/67/35/6735.7.52359.AGTTCC.fastq.gz	348671770	52300765500	7327757919
SRR061189.fastq.gz	25443252	5088650400	7606323
SRR062429.fastq.gz	26405841	5281168200	407596688
SRR062436.fastq.gz	26930138	5386027600	170132547
SRR062519.fastq.gz	29174520	5834904000	1132699579
SRR346700.fastq.gz	26400883	5280176600	697601417
SRR948155.fastq.gz	36655361	7331072200	2631171894
mgm4477807.fastq.gz	9206662	920666200	619234584
SRR512581.fastq.gz	14858453	3358010378	2406849966
